A1: 3 MB malloc, 13 MB malloc, -5 MB malloc, 18 MB malloc, 16 MB malloc, 0 MB malloc, 2 MB malloc, 19 MB malloc, 23 MB malloc, 6 MB malloc
A13: 1 MB malloc, 3 MB malloc, 1 MB malloc, 8 MB malloc, 6 MB malloc, 6 MB malloc, 8 MB malloc, 9 MB malloc, 13 MB malloc, 12 MB malloc
A14: 6 MB malloc, 7 MB malloc, 7 MB malloc, 12 MB malloc, 10 MB malloc, 12 MB malloc, 14 MB malloc, 13 MB malloc, 17 MB malloc, 18 MB malloc
A15: 20 MB malloc, 22 MB malloc, 20 MB malloc, 27 MB malloc, 25 MB malloc, 25 MB malloc, 27 MB malloc, 28 MB malloc, 32 MB malloc, 31 MB malloc
A16: 16 MB malloc, 17 MB malloc, 17 MB malloc, 22 MB malloc, 20 MB malloc, 22 MB malloc, 24 MB malloc, 23 MB malloc, 27 MB malloc, 28 MB malloc
A17: 22 MB malloc, 30 MB malloc, 16 MB malloc, 35 MB malloc, 33 MB malloc, 21 MB malloc, 23 MB malloc, 36 MB malloc, 40 MB malloc, 27 MB malloc
A18: 11 MB malloc, 13 MB malloc, 11 MB malloc, 18 MB malloc, 16 MB malloc, 16 MB malloc, 18 MB malloc, 19 MB malloc, 23 MB malloc, 22 MB malloc
A19: 5 MB malloc, 6 MB malloc, 6 MB malloc, 11 MB malloc, 9 MB malloc, 11 MB malloc, 13 MB malloc, 12 MB malloc, 16 MB malloc, 17 MB malloc
A20: 29 MB malloc, 34 MB malloc, 26 MB malloc, 39 MB malloc, 37 MB malloc, 31 MB malloc, 33 MB malloc, 40 MB malloc, 44 MB malloc, 37 MB malloc
A21: 26 MB malloc, 27 MB malloc, 27 MB malloc, 32 MB malloc, 30 MB malloc, 32 MB malloc, 34 MB malloc, 33 MB malloc, 37 MB malloc, 38 MB malloc
A22: 15 MB malloc, 16 MB malloc, 16 MB malloc, 21 MB malloc, 19 MB malloc, 21 MB malloc, 23 MB malloc, 22 MB malloc, 26 MB malloc, 27 MB malloc
A23: 6 MB malloc, 11 MB malloc, 3 MB malloc, 16 MB malloc, 14 MB malloc, 8 MB malloc, 10 MB malloc, 17 MB malloc, 21 MB malloc, 14 MB malloc
A24: 17 MB malloc, 18 MB malloc, 18 MB malloc, 23 MB malloc, 21 MB malloc, 23 MB malloc, 25 MB malloc, 24 MB malloc, 28 MB malloc, 29 MB malloc
A25: 17 MB malloc, 18 MB malloc, 18 MB malloc, 23 MB malloc, 21 MB malloc, 23 MB malloc, 25 MB malloc, 24 MB malloc, 28 MB malloc, 29 MB malloc
A26: 11 MB malloc, 14 MB malloc, 10 MB malloc, 19 MB malloc, 17 MB malloc, 15 MB malloc, 17 MB malloc, 20 MB malloc, 24 MB malloc, 21 MB malloc
A27: 2 MB malloc, 6 MB malloc, 0 MB malloc, 11 MB malloc, 9 MB malloc, 5 MB malloc, 7 MB malloc, 12 MB malloc, 16 MB malloc, 11 MB malloc
A28: 8 MB malloc, 9 MB malloc, 9 MB malloc, 14 MB malloc, 12 MB malloc, 14 MB malloc, 16 MB malloc, 15 MB malloc, 19 MB malloc, 20 MB malloc
A29: 17 MB malloc, 19 MB malloc, 17 MB malloc, 24 MB malloc, 22 MB malloc, 22 MB malloc, 24 MB malloc, 25 MB malloc, 29 MB malloc, 28 MB malloc
A30: 1 MB malloc, 6 MB malloc, -2 MB malloc, 11 MB malloc, 9 MB malloc, 3 MB malloc, 5 MB malloc, 12 MB malloc, 16 MB malloc, 9 MB malloc
A31: 13 MB malloc, 15 MB malloc, 13 MB malloc, 20 MB malloc, 18 MB malloc, 18 MB malloc, 20 MB malloc, 21 MB malloc, 25 MB malloc, 24 MB malloc
A32: 25 MB malloc, 28 MB malloc, 24 MB malloc, 33 MB malloc, 31 MB malloc, 29 MB malloc, 31 MB malloc, 34 MB malloc, 38 MB malloc, 35 MB malloc
A33: 28 MB malloc, 30 MB malloc, 28 MB malloc, 35 MB malloc, 33 MB malloc, 33 MB malloc, 35 MB malloc, 36 MB malloc, 40 MB malloc, 39 MB malloc
A34: 22 MB malloc, 23 MB malloc, 23 MB malloc, 28 MB malloc, 26 MB malloc, 28 MB malloc, 30 MB malloc, 29 MB malloc, 33 MB malloc, 34 MB malloc
A35: 9 MB malloc, 10 MB malloc, 10 MB malloc, 15 MB malloc, 13 MB malloc, 15 MB malloc, 17 MB malloc, 16 MB malloc, 20 MB malloc, 21 MB malloc
A36: 23 MB malloc, 24 MB malloc, 24 MB malloc, 29 MB malloc, 27 MB malloc, 29 MB malloc, 31 MB malloc, 30 MB malloc, 34 MB malloc, 35 MB malloc
A37: 13 MB malloc, 23 MB malloc, 5 MB malloc, 28 MB malloc, 26 MB malloc, 10 MB malloc, 12 MB malloc, 29 MB malloc, 33 MB malloc, 16 MB malloc
A38: 19 MB malloc, 20 MB malloc, 20 MB malloc, 25 MB malloc, 23 MB malloc, 25 MB malloc, 27 MB malloc, 26 MB malloc, 30 MB malloc, 31 MB malloc
A39: 6 MB malloc, 7 MB malloc, 7 MB malloc, 12 MB malloc, 10 MB malloc, 12 MB malloc, 14 MB malloc, 13 MB malloc, 17 MB malloc, 18 MB malloc
A40: 19 MB malloc, 21 MB malloc, 19 MB malloc, 26 MB malloc, 24 MB malloc, 24 MB malloc, 26 MB malloc, 27 MB malloc, 31 MB malloc, 30 MB malloc
A41: 11 MB malloc, 12 MB malloc, 12 MB malloc, 17 MB malloc, 15 MB malloc, 17 MB malloc, 19 MB malloc, 18 MB malloc, 22 MB malloc, 23 MB malloc
A42: 20 MB malloc, 24 MB malloc, 18 MB malloc, 29 MB malloc, 27 MB malloc, 23 MB malloc, 25 MB malloc, 30 MB malloc, 34 MB malloc, 29 MB malloc
A43: 5 MB malloc, 6 MB malloc, 6 MB malloc, 11 MB malloc, 9 MB malloc, 11 MB malloc, 13 MB malloc, 12 MB malloc, 16 MB malloc, 17 MB malloc
A44: 21 MB malloc, 23 MB malloc, 21 MB malloc, 28 MB malloc, 26 MB malloc, 26 MB malloc, 28 MB malloc, 29 MB malloc, 33 MB malloc, 32 MB malloc
A45: 21 MB malloc, 22 MB malloc, 22 MB malloc, 27 MB malloc, 25 MB malloc, 27 MB malloc, 29 MB malloc, 28 MB malloc, 32 MB malloc, 33 MB malloc
A46: 11 MB malloc, 13 MB malloc, 11 MB malloc, 18 MB malloc, 16 MB malloc, 16 MB malloc, 18 MB malloc, 19 MB malloc, 23 MB malloc, 22 MB malloc
A47: 19 MB malloc, 26 MB malloc, 14 MB malloc, 31 MB malloc, 29 MB malloc, 19 MB malloc, 21 MB malloc, 32 MB malloc, 36 MB malloc, 25 MB malloc
A48: 23 MB malloc, 29 MB malloc, 19 MB malloc, 34 MB malloc, 32 MB malloc, 24 MB malloc, 26 MB malloc, 35 MB malloc, 39 MB malloc, 30 MB malloc
A49: 27 MB malloc, 35 MB malloc, 21 MB malloc, 40 MB malloc, 38 MB malloc, 26 MB malloc, 28 MB malloc, 41 MB malloc, 45 MB malloc, 32 MB malloc
A50: 22 MB malloc, 25 MB malloc, 21 MB malloc, 30 MB malloc, 28 MB malloc, 26 MB malloc, 28 MB malloc, 31 MB malloc, 35 MB malloc, 32 MB malloc
A51: 24 MB malloc, 28 MB malloc, 22 MB malloc, 33 MB malloc, 31 MB malloc, 27 MB malloc, 29 MB malloc, 34 MB malloc, 38 MB malloc, 33 MB malloc
A52: 12 MB malloc, 13 MB malloc, 13 MB malloc, 18 MB malloc, 16 MB malloc, 18 MB malloc, 20 MB malloc, 19 MB malloc, 23 MB malloc, 24 MB malloc
A53: 19 MB malloc, 22 MB malloc, 18 MB malloc, 27 MB malloc, 25 MB malloc, 23 MB malloc, 25 MB malloc, 28 MB malloc, 32 MB malloc, 29 MB malloc
A54: 20 MB malloc, 22 MB malloc, 20 MB malloc, 27 MB malloc, 25 MB malloc, 25 MB malloc, 27 MB malloc, 28 MB malloc, 32 MB malloc, 31 MB malloc
A55: 25 MB malloc, 28 MB malloc, 24 MB malloc, 33 MB malloc, 31 MB malloc, 29 MB malloc, 31 MB malloc, 34 MB malloc, 38 MB malloc, 35 MB malloc
A56: 6 MB malloc, 13 MB malloc, 1 MB malloc, 18 MB malloc, 16 MB malloc, 6 MB malloc, 8 MB malloc, 19 MB malloc, 23 MB malloc, 12 MB malloc
A57: 13 MB malloc, 16 MB malloc, 12 MB malloc, 21 MB malloc, 19 MB malloc, 17 MB malloc, 19 MB malloc, 22 MB malloc, 26 MB malloc, 23 MB malloc
A58: 28 MB malloc, 29 MB malloc, 29 MB malloc, 34 MB malloc, 32 MB malloc, 34 MB malloc, 36 MB malloc, 35 MB malloc, 39 MB malloc, 40 MB malloc
A59: 15 MB malloc, 16 MB malloc, 16 MB malloc, 21 MB malloc, 19 MB malloc, 21 MB malloc, 23 MB malloc, 22 MB malloc, 26 MB malloc, 27 MB malloc
A60: 1 MB malloc, 7 MB malloc, -3 MB malloc, 12 MB malloc, 10 MB malloc, 2 MB malloc, 4 MB malloc, 13 MB malloc, 17 MB malloc, 8 MB malloc
A61: 29 MB malloc, 31 MB malloc, 29 MB malloc, 36 MB malloc, 34 MB malloc, 34 MB malloc, 36 MB malloc, 37 MB malloc, 41 MB malloc, 40 MB malloc
A62: 18 MB malloc, 22 MB malloc, 16 MB malloc, 27 MB malloc, 25 MB malloc, 21 MB malloc, 23 MB malloc, 28 MB malloc, 32 MB malloc, 27 MB malloc
A63: 20 MB malloc, 23 MB malloc, 19 MB malloc, 28 MB malloc, 26 MB malloc, 24 MB malloc, 26 MB malloc, 29 MB malloc, 33 MB malloc, 30 MB malloc
A64: 13 MB malloc, 15 MB malloc, 13 MB malloc, 20 MB malloc, 18 MB malloc, 18 MB malloc, 20 MB malloc, 21 MB malloc, 25 MB malloc, 24 MB malloc
A65: 17 MB malloc, 18 MB malloc, 18 MB malloc, 23 MB malloc, 21 MB malloc, 23 MB malloc, 25 MB malloc, 24 MB malloc, 28 MB malloc, 29 MB malloc
A66: 3 MB malloc, 4 MB malloc, 4 MB malloc, 9 MB malloc, 7 MB malloc, 9 MB malloc, 11 MB malloc, 10 MB malloc, 14 MB malloc, 15 MB malloc
A67: 3 MB malloc, 4 MB malloc, 4 MB malloc, 9 MB malloc, 7 MB malloc, 9 MB malloc, 11 MB malloc, 10 MB malloc, 14 MB malloc, 15 MB malloc
A68: 13 MB malloc, 15 MB malloc, 13 MB malloc, 20 MB malloc, 18 MB malloc, 18 MB malloc, 20 MB malloc, 21 MB malloc, 25 MB malloc, 24 MB malloc
A69: 8 MB malloc, 9 MB malloc, 9 MB malloc, 14 MB malloc, 12 MB malloc, 14 MB malloc, 16 MB malloc, 15 MB malloc, 19 MB malloc, 20 MB malloc
A70: 18 MB malloc, 28 MB malloc, 10 MB malloc, 33 MB malloc, 31 MB malloc, 15 MB malloc, 17 MB malloc, 34 MB malloc, 38 MB malloc, 21 MB malloc
A71: 29 MB malloc, 33 MB malloc, 27 MB malloc, 38 MB malloc, 36 MB malloc, 32 MB malloc, 34 MB malloc, 39 MB malloc, 43 MB malloc, 38 MB malloc
A72: 30 MB malloc, 32 MB malloc, 30 MB malloc, 37 MB malloc, 35 MB malloc, 35 MB malloc, 37 MB malloc, 38 MB malloc, 42 MB malloc, 41 MB malloc
A73: 23 MB malloc, 26 MB malloc, 22 MB malloc, 31 MB malloc, 29 MB malloc, 27 MB malloc, 29 MB malloc, 32 MB malloc, 36 MB malloc, 33 MB malloc
A74: 4 MB malloc, 6 MB malloc, 4 MB malloc, 11 MB malloc, 9 MB malloc, 9 MB malloc, 11 MB malloc, 12 MB malloc, 16 MB malloc, 15 MB malloc
A75: 29 MB malloc, 31 MB malloc, 29 MB malloc, 36 MB malloc, 34 MB malloc, 34 MB malloc, 36 MB malloc, 37 MB malloc, 41 MB malloc, 40 MB malloc
A76: 30 MB malloc, 32 MB malloc, 30 MB malloc, 37 MB malloc, 35 MB malloc, 35 MB malloc, 37 MB malloc, 38 MB malloc, 42 MB malloc, 41 MB malloc
A77: 21 MB malloc, 31 MB malloc, 13 MB malloc, 36 MB malloc, 34 MB malloc, 18 MB malloc, 20 MB malloc, 37 MB malloc, 41 MB malloc, 24 MB malloc
A78: 26 MB malloc, 28 MB malloc, 26 MB malloc, 33 MB malloc, 31 MB malloc, 31 MB malloc, 33 MB malloc, 34 MB malloc, 38 MB malloc, 37 MB malloc
A79: 21 MB malloc, 23 MB malloc, 21 MB malloc, 28 MB malloc, 26 MB malloc, 26 MB malloc, 28 MB malloc, 29 MB malloc, 33 MB malloc, 32 MB malloc
A80: 11 MB malloc, 13 MB malloc, 11 MB malloc, 18 MB malloc, 16 MB malloc, 16 MB malloc, 18 MB malloc, 19 MB malloc, 23 MB malloc, 22 MB malloc
A81: 29 MB malloc, 30 MB malloc, 30 MB malloc, 35 MB malloc, 33 MB malloc, 35 MB malloc, 37 MB malloc, 36 MB malloc, 40 MB malloc, 41 MB malloc
A82: 21 MB malloc, 22 MB malloc, 22 MB malloc, 27 MB malloc, 25 MB malloc, 27 MB malloc, 29 MB malloc, 28 MB malloc, 32 MB malloc, 33 MB malloc
A83: 9 MB malloc, 14 MB malloc, 6 MB malloc, 19 MB malloc, 17 MB malloc, 11 MB malloc, 13 MB malloc, 20 MB malloc, 24 MB malloc, 17 MB malloc
A84: 7 MB malloc, 15 MB malloc, 1 MB malloc, 20 MB malloc, 18 MB malloc, 6 MB malloc, 8 MB malloc, 21 MB malloc, 25 MB malloc, 12 MB malloc
A85: 19 MB malloc, 21 MB malloc, 19 MB malloc, 26 MB malloc, 24 MB malloc, 24 MB malloc, 26 MB malloc, 27 MB malloc, 31 MB malloc, 30 MB malloc
A86: 19 MB malloc, 21 MB malloc, 19 MB malloc, 26 MB malloc, 24 MB malloc, 24 MB malloc, 26 MB malloc, 27 MB malloc, 31 MB malloc, 30 MB malloc
A87: 22 MB malloc, 26 MB malloc, 20 MB malloc, 31 MB malloc, 29 MB malloc, 25 MB malloc, 27 MB malloc, 32 MB malloc, 36 MB malloc, 31 MB malloc
A88: 22 MB malloc, 25 MB malloc, 21 MB malloc, 30 MB malloc, 28 MB malloc, 26 MB malloc, 28 MB malloc, 31 MB malloc, 35 MB malloc, 32 MB malloc
A89: 22 MB malloc, 24 MB malloc, 22 MB malloc, 29 MB malloc, 27 MB malloc, 27 MB malloc, 29 MB malloc, 30 MB malloc, 34 MB malloc, 33 MB malloc
A90: 13 MB malloc, 20 MB malloc, 8 MB malloc, 25 MB malloc, 23 MB malloc, 13 MB malloc, 15 MB malloc, 26 MB malloc, 30 MB malloc, 19 MB malloc
A91: 20 MB malloc, 22 MB malloc, 20 MB malloc, 27 MB malloc, 25 MB malloc, 25 MB malloc, 27 MB malloc, 28 MB malloc, 32 MB malloc, 31 MB malloc
A92: 26 MB malloc, 29 MB malloc, 25 MB malloc, 34 MB malloc, 32 MB malloc, 30 MB malloc, 32 MB malloc, 35 MB malloc, 39 MB malloc, 36 MB malloc
A93: 28 MB malloc, 30 MB malloc, 28 MB malloc, 35 MB malloc, 33 MB malloc, 33 MB malloc, 35 MB malloc, 36 MB malloc, 40 MB malloc, 39 MB malloc
A94: 27 MB malloc, 32 MB malloc, 24 MB malloc, 37 MB malloc, 35 MB malloc, 29 MB malloc, 31 MB malloc, 38 MB malloc, 42 MB malloc, 35 MB malloc
A95: 5 MB malloc, 6 MB malloc, 6 MB malloc, 11 MB malloc, 9 MB malloc, 11 MB malloc, 13 MB malloc, 12 MB malloc, 16 MB malloc, 17 MB malloc
A96: 15 MB malloc, 21 MB malloc, 11 MB malloc, 26 MB malloc, 24 MB malloc, 16 MB malloc, 18 MB malloc, 27 MB malloc, 31 MB malloc, 22 MB malloc
A97: 10 MB malloc, 15 MB malloc, 7 MB malloc, 20 MB malloc, 18 MB malloc, 12 MB malloc, 14 MB malloc, 21 MB malloc, 25 MB malloc, 18 MB malloc
A98: 3 MB malloc, 8 MB malloc, 0 MB malloc, 13 MB malloc, 11 MB malloc, 5 MB malloc, 7 MB malloc, 14 MB malloc, 18 MB malloc, 11 MB malloc
A99: 6 MB malloc, 13 MB malloc, 1 MB malloc, 18 MB malloc, 16 MB malloc, 6 MB malloc, 8 MB malloc, 19 MB malloc, 23 MB malloc, 12 MB malloc
A100: 7 MB malloc, 8 MB malloc, 8 MB malloc, 13 MB malloc, 11 MB malloc, 13 MB malloc, 15 MB malloc, 14 MB malloc, 18 MB malloc, 19 MB malloc
A101: 1 MB malloc, 3 MB malloc, 1 MB malloc, 8 MB malloc, 6 MB malloc, 6 MB malloc, 8 MB malloc, 9 MB malloc, 13 MB malloc, 12 MB malloc
A102: 10 MB malloc, 17 MB malloc, 5 MB malloc, 22 MB malloc, 20 MB malloc, 10 MB malloc, 12 MB malloc, 23 MB malloc, 27 MB malloc, 16 MB malloc
A103: 12 MB malloc, 14 MB malloc, 12 MB malloc, 19 MB malloc, 17 MB malloc, 17 MB malloc, 19 MB malloc, 20 MB malloc, 24 MB malloc, 23 MB malloc
A104: 5 MB malloc, 7 MB malloc, 5 MB malloc, 12 MB malloc, 10 MB malloc, 10 MB malloc, 12 MB malloc, 13 MB malloc, 17 MB malloc, 16 MB malloc
A105: 27 MB malloc, 35 MB malloc, 21 MB malloc, 40 MB malloc, 38 MB malloc, 26 MB malloc, 28 MB malloc, 41 MB malloc, 45 MB malloc, 32 MB malloc
A106: 14 MB malloc, 17 MB malloc, 13 MB malloc, 22 MB malloc, 20 MB malloc, 18 MB malloc, 20 MB malloc, 23 MB malloc, 27 MB malloc, 24 MB malloc
A107: 29 MB malloc, 30 MB malloc, 30 MB malloc, 35 MB malloc, 33 MB malloc, 35 MB malloc, 37 MB malloc, 36 MB malloc, 40 MB malloc, 41 MB malloc
A108: 1 MB malloc, 4 MB malloc, 0 MB malloc, 9 MB malloc, 7 MB malloc, 5 MB malloc, 7 MB malloc, 10 MB malloc, 14 MB malloc, 11 MB malloc
A109: 3 MB malloc, 9 MB malloc, -1 MB malloc, 14 MB malloc, 12 MB malloc, 4 MB malloc, 6 MB malloc, 15 MB malloc, 19 MB malloc, 10 MB malloc
A110: 1 MB malloc, 3 MB malloc, 1 MB malloc, 8 MB malloc, 6 MB malloc, 6 MB malloc, 8 MB malloc, 9 MB malloc, 13 MB malloc, 12 MB malloc
A111: 28 MB malloc, 35 MB malloc, 23 MB malloc, 40 MB malloc, 38 MB malloc, 28 MB malloc, 30 MB malloc, 41 MB malloc, 45 MB malloc, 34 MB malloc
A112: 12 MB malloc, 13 MB malloc, 13 MB malloc, 18 MB malloc, 16 MB malloc, 18 MB malloc, 20 MB malloc, 19 MB malloc, 23 MB malloc, 24 MB malloc
A113: 5 MB malloc, 6 MB malloc, 6 MB malloc, 11 MB malloc, 9 MB malloc, 11 MB malloc, 13 MB malloc, 12 MB malloc, 16 MB malloc, 17 MB malloc
A114: 28 MB malloc, 30 MB malloc, 28 MB malloc, 35 MB malloc, 33 MB malloc, 33 MB malloc, 35 MB malloc, 36 MB malloc, 40 MB malloc, 39 MB malloc
A115: 24 MB malloc, 27 MB malloc, 23 MB malloc, 32 MB malloc, 30 MB malloc, 28 MB malloc, 30 MB malloc, 33 MB malloc, 37 MB malloc, 34 MB malloc
A116: 9 MB malloc, 15 MB malloc, 5 MB malloc, 20 MB malloc, 18 MB malloc, 10 MB malloc, 12 MB malloc, 21 MB malloc, 25 MB malloc, 16 MB malloc
A117: 17 MB malloc, 21 MB malloc, 15 MB malloc, 26 MB malloc, 24 MB malloc, 20 MB malloc, 22 MB malloc, 27 MB malloc, 31 MB malloc, 26 MB malloc
A118: 6 MB malloc, 9 MB malloc, 5 MB malloc, 14 MB malloc, 12 MB malloc, 10 MB malloc, 12 MB malloc, 15 MB malloc, 19 MB malloc, 16 MB malloc
A119: 17 MB malloc, 19 MB malloc, 17 MB malloc, 24 MB malloc, 22 MB malloc, 22 MB malloc, 24 MB malloc, 25 MB malloc, 29 MB malloc, 28 MB malloc
A120: 10 MB malloc, 14 MB malloc, 8 MB malloc, 19 MB malloc, 17 MB malloc, 13 MB malloc, 15 MB malloc, 20 MB malloc, 24 MB malloc, 19 MB malloc
A121: 17 MB malloc, 25 MB malloc, 11 MB malloc, 30 MB malloc, 28 MB malloc, 16 MB malloc, 18 MB malloc, 31 MB malloc, 35 MB malloc, 22 MB malloc
A122: 15 MB malloc, 20 MB malloc, 12 MB malloc, 25 MB malloc, 23 MB malloc, 17 MB malloc, 19 MB malloc, 26 MB malloc, 30 MB malloc, 23 MB malloc
A123: 28 MB malloc, 34 MB malloc, 24 MB malloc, 39 MB malloc, 37 MB malloc, 29 MB malloc, 31 MB malloc, 40 MB malloc, 44 MB malloc, 35 MB malloc
A124: 2 MB malloc, 3 MB malloc, 3 MB malloc, 8 MB malloc, 6 MB malloc, 8 MB malloc, 10 MB malloc, 9 MB malloc, 13 MB malloc, 14 MB malloc
A125: 8 MB malloc, 10 MB malloc, 8 MB malloc, 15 MB malloc, 13 MB malloc, 13 MB malloc, 15 MB malloc, 16 MB malloc, 20 MB malloc, 19 MB malloc
A126: 25 MB malloc, 29 MB malloc, 23 MB malloc, 34 MB malloc, 32 MB malloc, 28 MB malloc, 30 MB malloc, 35 MB malloc, 39 MB malloc, 34 MB malloc
A127: 30 MB malloc, 34 MB malloc, 28 MB malloc, 39 MB malloc, 37 MB malloc, 33 MB malloc, 35 MB malloc, 40 MB malloc, 44 MB malloc, 39 MB malloc
A128: 21 MB malloc, 25 MB malloc, 19 MB malloc, 30 MB malloc, 28 MB malloc, 24 MB malloc, 26 MB malloc, 31 MB malloc, 35 MB malloc, 30 MB malloc
A129: 7 MB malloc, 11 MB malloc, 5 MB malloc, 16 MB malloc, 14 MB malloc, 10 MB malloc, 12 MB malloc, 17 MB malloc, 21 MB malloc, 16 MB malloc
A130: 29 MB malloc, 30 MB malloc, 30 MB malloc, 35 MB malloc, 33 MB malloc, 35 MB malloc, 37 MB malloc, 36 MB malloc, 40 MB malloc, 41 MB malloc
A131: 28 MB malloc, 32 MB malloc, 26 MB malloc, 37 MB malloc, 35 MB malloc, 31 MB malloc, 33 MB malloc, 38 MB malloc, 42 MB malloc, 37 MB malloc
A132: 11 MB malloc, 14 MB malloc, 10 MB malloc, 19 MB malloc, 17 MB malloc, 15 MB malloc, 17 MB malloc, 20 MB malloc, 24 MB malloc, 21 MB malloc
A133: 6 MB malloc, 10 MB malloc, 4 MB malloc, 15 MB malloc, 13 MB malloc, 9 MB malloc, 11 MB malloc, 16 MB malloc, 20 MB malloc, 15 MB malloc
A134: 21 MB malloc, 24 MB malloc, 20 MB malloc, 29 MB malloc, 27 MB malloc, 25 MB malloc, 27 MB malloc, 30 MB malloc, 34 MB malloc, 31 MB malloc
A135: 20 MB malloc, 29 MB malloc, 13 MB malloc, 34 MB malloc, 32 MB malloc, 18 MB malloc, 20 MB malloc, 35 MB malloc, 39 MB malloc, 24 MB malloc
A136: 15 MB malloc, 21 MB malloc, 11 MB malloc, 26 MB malloc, 24 MB malloc, 16 MB malloc, 18 MB malloc, 27 MB malloc, 31 MB malloc, 22 MB malloc
A137: 20 MB malloc, 21 MB malloc, 21 MB malloc, 26 MB malloc, 24 MB malloc, 26 MB malloc, 28 MB malloc, 27 MB malloc, 31 MB malloc, 32 MB malloc
A138: 17 MB malloc, 19 MB malloc, 17 MB malloc, 24 MB malloc, 22 MB malloc, 22 MB malloc, 24 MB malloc, 25 MB malloc, 29 MB malloc, 28 MB malloc
A139: 15 MB malloc, 21 MB malloc, 11 MB malloc, 26 MB malloc, 24 MB malloc, 16 MB malloc, 18 MB malloc, 27 MB malloc, 31 MB malloc, 22 MB malloc
A140: 23 MB malloc, 26 MB malloc, 22 MB malloc, 31 MB malloc, 29 MB malloc, 27 MB malloc, 29 MB malloc, 32 MB malloc, 36 MB malloc, 33 MB malloc
A141: 3 MB malloc, 5 MB malloc, 3 MB malloc, 10 MB malloc, 8 MB malloc, 8 MB malloc, 10 MB malloc, 11 MB malloc, 15 MB malloc, 14 MB malloc
A142: 18 MB malloc, 19 MB malloc, 19 MB malloc, 24 MB malloc, 22 MB malloc, 24 MB malloc, 26 MB malloc, 25 MB malloc, 29 MB malloc, 30 MB malloc
A143: 14 MB malloc, 19 MB malloc, 11 MB malloc, 24 MB malloc, 22 MB malloc, 16 MB malloc, 18 MB malloc, 25 MB malloc, 29 MB malloc, 22 MB malloc
A144: 14 MB malloc, 20 MB malloc, 10 MB malloc, 25 MB malloc, 23 MB malloc, 15 MB malloc, 17 MB malloc, 26 MB malloc, 30 MB malloc, 21 MB malloc
A145: 27 MB malloc, 31 MB malloc, 25 MB malloc, 36 MB malloc, 34 MB malloc, 30 MB malloc, 32 MB malloc, 37 MB malloc, 41 MB malloc, 36 MB malloc
A146: 23 MB malloc, 24 MB malloc, 24 MB malloc, 29 MB malloc, 27 MB malloc, 29 MB malloc, 31 MB malloc, 30 MB malloc, 34 MB malloc, 35 MB malloc
A147: 19 MB malloc, 21 MB malloc, 19 MB malloc, 26 MB malloc, 24 MB malloc, 24 MB malloc, 26 MB malloc, 27 MB malloc, 31 MB malloc, 30 MB malloc
A148: 13 MB malloc, 14 MB malloc, 14 MB malloc, 19 MB malloc, 17 MB malloc, 19 MB malloc, 21 MB malloc, 20 MB malloc, 24 MB malloc, 25 MB malloc
A149: 19 MB malloc, 25 MB malloc, 15 MB malloc, 30 MB malloc, 28 MB malloc, 20 MB malloc, 22 MB malloc, 31 MB malloc, 35 MB malloc, 26 MB malloc
